Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Propagate Time, Search Time
5, parallel-propagate, Platformer,1,1000,980737479,2,1,10,10,0, 00:00:02.1463750, 00:00:05.1205263
5, parallel-main, Skyline,1,1000,980737479,1,2,10,10,0, 00:00:05.8517426, 00:00:13.0635185
5, parallel-main, Flowers,1,1000,980737479,1,2,10,10,0, 00:00:03.7272355, 00:00:06.5852892
5, parallel-main, Platformer,1,1000,980737479,1,2,10,10,0, 00:00:02.3991336, 00:00:05.6873810
5, parallel-propagate, Skyline,1,1000,980737479,1,1,10,10,0, 00:00:05.4746100, 00:00:12.5495718
5, parallel-propagate, Flowers,1,1000,980737479,1,1,10,10,0, 00:00:03.3157797, 00:00:05.8720454
5, parallel-propagate, Platformer,1,1000,980737479,1,1,10,10,0, 00:00:02.0636275, 00:00:04.9545012
5, parallel-main, Skyline,1,1000,980737479,1,1,10,10,0, 00:00:05.4625784, 00:00:12.3871448
5, parallel-main, Flowers,1,1000,980737479,1,1,10,10,0, 00:00:03.5138995, 00:00:06.0974160
5, parallel-main, Platformer,1,1000,980737479,1,1,10,10,0, 00:00:02.0473078, 00:00:04.9007159
5, sequential-main, Skyline,1,1000,980737479,1,1,10,10,0, 00:00:05.4316907, 00:00:12.2925383
5, sequential-main, Flowers,1,1000,980737479,1,1,10,10,0, 00:00:03.5046437, 00:00:06.0795574
5, sequential-main, Platformer,1,1000,980737479,1,1,10,10,0, 00:00:02.0461965, 00:00:04.8953607
6, parallel-propagate, Skyline,1,1000,2067435452,8,1,10,10,0, 00:00:06.0074392, 00:00:13.6836209
6, parallel-propagate, Flowers,1,1000,2067435452,8,1,10,10,0, 00:00:03.7457793, 00:00:06.6091293
6, parallel-propagate, Platformer,1,1000,2067435452,8,1,10,10,0, 00:00:02.8690625, 00:00:07.2354138
6, parallel-main, Skyline,1,1000,2067435452,1,8,10,10,0, 00:00:08.2885909, 00:00:19.2669241
6, parallel-main, Flowers,1,1000,2067435452,1,8,10,10,0, 00:00:05.0015326, 00:00:08.4745189
6, parallel-main, Platformer,1,1000,2067435452,1,8,10,10,0, 00:00:02.5452895, 00:00:06.4575161
6, parallel-propagate, Skyline,1,1000,2067435452,4,1,10,10,0, 00:00:07.0028041, 00:00:17.7056046
6, parallel-propagate, Flowers,1,1000,2067435452,4,1,10,10,0, 00:00:03.7341051, 00:00:06.6147636
6, parallel-propagate, Platformer,1,1000,2067435452,4,1,10,10,0, 00:00:02.9208546, 00:00:07.2278450
6, parallel-main, Skyline,1,1000,2067435452,1,4,10,10,0, 00:00:05.9974528, 00:00:14.1817035
6, parallel-main, Flowers,1,1000,2067435452,1,4,10,10,0, 00:00:04.0086385, 00:00:06.6732303
6, parallel-main, Platformer,1,1000,2067435452,1,4,10,10,0, 00:00:01.7532380, 00:00:04.5710194
6, parallel-propagate, Skyline,1,1000,2067435452,2,1,10,10,0, 00:00:05.8777638, 00:00:13.8021292
6, parallel-propagate, Flowers,1,1000,2067435452,2,1,10,10,0, 00:00:03.7552143, 00:00:06.6046520
6, parallel-propagate, Platformer,1,1000,2067435452,2,1,10,10,0, 00:00:02.8758100, 00:00:07.1906582
6, parallel-main, Skyline,1,1000,2067435452,1,2,10,10,0, 00:00:06.2084894, 00:00:14.1379089
6, parallel-main, Flowers,1,1000,2067435452,1,2,10,10,0, 00:00:03.7425717, 00:00:06.7646084
6, parallel-main, Platformer,1,1000,2067435452,1,2,10,10,0, 00:00:02.3134266, 00:00:05.9980193
6, parallel-propagate, Skyline,1,1000,2067435452,1,1,10,10,0, 00:00:05.9010702, 00:00:13.4621143
6, parallel-propagate, Flowers,1,1000,2067435452,1,1,10,10,0, 00:00:03.7459089, 00:00:06.6004974
6, parallel-propagate, Platformer,1,1000,2067435452,1,1,10,10,0, 00:00:02.9039192, 00:00:07.2363758
6, parallel-main, Skyline,1,1000,2067435452,1,1,10,10,0, 00:00:05.9661616, 00:00:13.6009495
6, parallel-main, Flowers,1,1000,2067435452,1,1,10,10,0, 00:00:03.7406676, 00:00:06.5725516
