Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Observation Time, Propagate Time, Search Time, CPU Usage
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 4, 1, 10, 50, 0, 0:07.59, 0:05.95, 0:14.26,
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 4, 1, 10, 50, 0, 0:01.91, 0:03.70, 0:06.13,
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 4, 1, 10, 50, 0, 0:02.85, 0:02.18, 0:05.43,
4, parallel-propagate, Skyline, 1, 1000, 1485571032, 8, 1, 10, 50, 0, 0:07.63, 0:05.94, 0:14.29,
4, parallel-propagate, Flowers, 1, 1000, 1485571032, 8, 1, 10, 50, 0, 0:02.08, 0:03.71, 0:06.31,
4, parallel-propagate, Platformer, 1, 1000, 1485571032, 8, 1, 10, 50, 0, 0:02.85, 0:02.19, 0:05.43,
5, sequential-main, Skyline, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:06.51, 0:05.40, 0:12.64,
5, sequential-main, Flowers, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.08, 0:03.53, 0:06.13,
5, sequential-main, Platformer, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.49, 0:02.05, 0:04.93,
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:06.49, 0:05.43, 0:12.64,
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.08, 0:03.52, 0:06.12,
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.48, 0:02.02, 0:04.89,
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 2, 10, 50, 0, 0:12.61, 0:10.94, 0:25.00,
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 2, 10, 50, 0, 0:04.62, 0:07.03, 0:12.71,
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 2, 10, 50, 0, 0:05.26, 0:03.95, 0:10.09,
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 4, 10, 50, 0, 0:24.99, 0:21.67, 0:49.82,
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 4, 10, 50, 0, 0:09.01, 0:14.79, 0:26.47,
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 4, 10, 50, 0, 0:10.66, 0:08.65, 0:21.24,
5, parallel-main, Skyline, 1, 1000, 980737479, 1, 8, 10, 50, 0, 1:14.52, 0:59.23, 2:23.12,
5, parallel-main, Flowers, 1, 1000, 980737479, 1, 8, 10, 50, 0, 0:28.06, 0:42.61, 1:17.86,
5, parallel-main, Platformer, 1, 1000, 980737479, 1, 8, 10, 50, 0, 0:24.45, 0:18.91, 0:48.57,
5, parallel-propagate, Skyline, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:06.45, 0:05.35, 0:12.52,
5, parallel-propagate, Flowers, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.07, 0:03.54, 0:06.12,
5, parallel-propagate, Platformer, 1, 1000, 980737479, 1, 1, 10, 50, 0, 0:02.49, 0:02.05, 0:04.95,
5, parallel-propagate, Skyline, 1, 1000, 980737479, 2, 1, 10, 50, 0, 0:06.49, 0:05.41, 0:12.63,
5, parallel-propagate, Flowers, 1, 1000, 980737479, 2, 1, 10, 50, 0, 0:02.07, 0:03.51, 0:06.09,
5, parallel-propagate, Platformer, 1, 1000, 980737479, 2, 1, 10, 50, 0, 0:02.49, 0:02.03, 0:04.91,
5, parallel-propagate, Skyline, 1, 1000, 980737479, 4, 1, 10, 50, 0, 0:06.47, 0:05.40, 0:12.59,
5, parallel-propagate, Flowers, 1, 1000, 980737479, 4, 1, 10, 50, 0, 0:02.09, 0:03.52, 0:06.13,
5, parallel-propagate, Platformer, 1, 1000, 980737479, 4, 1, 10, 50, 0, 0:02.48, 0:02.02, 0:04.89,
5, parallel-propagate, Skyline, 1, 1000, 980737479, 8, 1, 10, 50, 0, 0:06.47, 0:05.41, 0:12.60,
5, parallel-propagate, Flowers, 1, 1000, 980737479, 8, 1, 10, 50, 0, 0:02.08, 0:03.50, 0:06.10,
5, parallel-propagate, Platformer, 1, 1000, 980737479, 8, 1, 10, 50, 0, 0:02.46, 0:02.00, 0:04.85,
6, sequential-main, Skyline, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:07.25, 0:06.00, 0:13.97,
6, sequential-main, Flowers, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:02.36, 0:03.73, 0:06.62,
6, sequential-main, Platformer, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:03.96, 0:02.81, 0:07.16,
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:07.27, 0:05.97, 0:13.96,
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:02.36, 0:03.73, 0:06.61,
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:03.95, 0:02.87, 0:07.21,
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 2, 10, 50, 0, 0:15.28, 0:11.73, 0:28.50,
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 2, 10, 50, 0, 0:05.22, 0:07.34, 0:13.60,
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 2, 10, 50, 0, 0:06.17, 0:04.50, 0:11.50,
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 4, 10, 50, 0, 0:33.23, 0:24.47, 1:00.92,
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 4, 10, 50, 0, 0:08.11, 0:13.85, 0:24.43,
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 4, 10, 50, 0, 0:09.42, 0:06.35, 0:17.78,
6, parallel-main, Skyline, 1, 1000, 2067435452, 1, 8, 10, 50, 0, 1:17.26, 0:56.05, 2:22.56,
6, parallel-main, Flowers, 1, 1000, 2067435452, 1, 8, 10, 50, 0, 0:15.44, 0:33.12, 0:55.38,
6, parallel-main, Platformer, 1, 1000, 2067435452, 1, 8, 10, 50, 0, 0:22.54, 0:17.24, 0:45.07,
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:07.21, 0:06.03, 0:13.97,
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:02.40, 0:03.61, 0:06.52,
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 1, 1, 10, 50, 0, 0:03.93, 0:02.90, 0:07.24,
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 2, 1, 10, 50, 0, 0:07.23, 0:06.04, 0:13.99,
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 2, 1, 10, 50, 0, 0:02.35, 0:03.50, 0:06.32,
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 2, 1, 10, 50, 0, 0:03.91, 0:02.89, 0:07.20,
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 4, 1, 10, 50, 0, 0:07.21, 0:06.04, 0:13.97,
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 4, 1, 10, 50, 0, 0:02.36, 0:03.57, 0:06.42,
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 4, 1, 10, 50, 0, 0:03.92, 0:02.88, 0:07.21,
6, parallel-propagate, Skyline, 1, 1000, 2067435452, 8, 1, 10, 50, 0, 0:07.23, 0:06.02, 0:13.96,
6, parallel-propagate, Flowers, 1, 1000, 2067435452, 8, 1, 10, 50, 0, 0:02.35, 0:03.65, 0:06.50,
6, parallel-propagate, Platformer, 1, 1000, 2067435452, 8, 1, 10, 50, 0, 0:03.93, 0:02.90, 0:07.23,
7, sequential-main, Skyline, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:06.37, 0:05.28, 0:12.38,
7, sequential-main, Flowers, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:02.36, 0:03.71, 0:06.57,
7, sequential-main, Platformer, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:03.46, 0:02.74, 0:06.61,
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:06.45, 0:05.30, 0:12.48,
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:02.37, 0:03.70, 0:06.59,
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:03.47, 0:02.75, 0:06.62,
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 2, 10, 50, 0, 0:13.03, 0:10.65, 0:25.14,
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 2, 10, 50, 0, 0:02.83, 0:05.29, 0:09.09,
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 2, 10, 50, 0, 0:05.47, 0:04.23, 0:10.57,
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 4, 10, 50, 0, 0:27.20, 0:23.18, 0:53.89,
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 4, 10, 50, 0, 0:06.91, 0:11.89, 0:21.23,
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 4, 10, 50, 0, 0:11.17, 0:08.88, 0:21.89,
7, parallel-main, Skyline, 1, 1000, 271829958, 1, 8, 10, 50, 0, 1:19.56, 1:01.78, 2:30.70,
7, parallel-main, Flowers, 1, 1000, 271829958, 1, 8, 10, 50, 0, 0:19.88, 0:35.51, 1:02.17,
7, parallel-main, Platformer, 1, 1000, 271829958, 1, 8, 10, 50, 0, 0:32.15, 0:23.28, 1:00.84,
7, parallel-propagate, Skyline, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:06.41, 0:05.30, 0:12.43,
7, parallel-propagate, Flowers, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:02.37, 0:03.73, 0:06.61,
7, parallel-propagate, Platformer, 1, 1000, 271829958, 1, 1, 10, 50, 0, 0:03.48, 0:02.76, 0:06.63,
7, parallel-propagate, Skyline, 1, 1000, 271829958, 2, 1, 10, 50, 0, 0:06.41, 0:05.30, 0:12.43,
7, parallel-propagate, Flowers, 1, 1000, 271829958, 2, 1, 10, 50, 0, 0:02.38, 0:03.72, 0:06.61,
7, parallel-propagate, Platformer, 1, 1000, 271829958, 2, 1, 10, 50, 0, 0:03.50, 0:02.71, 0:06.59,
7, parallel-propagate, Skyline, 1, 1000, 271829958, 4, 1, 10, 50, 0, 0:06.41, 0:05.29, 0:12.42,
7, parallel-propagate, Flowers, 1, 1000, 271829958, 4, 1, 10, 50, 0, 0:02.37, 0:03.72, 0:06.60,
7, parallel-propagate, Platformer, 1, 1000, 271829958, 4, 1, 10, 50, 0, 0:03.47, 0:02.70, 0:06.56,
7, parallel-propagate, Skyline, 1, 1000, 271829958, 8, 1, 10, 50, 0, 0:06.38, 0:05.28, 0:12.38,
